Experiment,Primed.as,Primed,Temp,Date of death,Censor
multi.feed,Not.primed,N,18,33,1
multi.feed,Not.primed,N,18,35,1
multi.feed,Not.primed,N,18,45,1
multi.feed,Not.primed,N,18,49,1
multi.feed,Not.primed,N,18,56,1
multi.feed,Not.primed,N,18,56,1
multi.feed,Not.primed,N,18,59,1
multi.feed,Not.primed,N,18,64,1
multi.feed,Not.primed,N,18,64,1
multi.feed,Not.primed,N,22,11,1
multi.feed,Not.primed,N,22,14,1
multi.feed,Not.primed,N,22,14,1
multi.feed,Not.primed,N,22,14,1
multi.feed,Not.primed,N,22,15,1
multi.feed,Not.primed,N,22,17,1
multi.feed,Not.primed,N,22,19,1
multi.feed,Not.primed,N,22,22,0
multi.feed,Not.primed,N,22,22,0
multi.feed,Not.primed,N,22,22,0
multi.feed,Not.primed,N,22,22,0
multi.feed,Not.primed,N,22,22,0
multi.feed,Not.primed,N,22,29,1
multi.feed,Not.primed,N,22,29,1
multi.feed,Not.primed,N,22,29,1
multi.feed,Not.primed,N,22,29,1
multi.feed,Not.primed,N,22,30,1
multi.feed,Not.primed,N,22,35,1
multi.feed,Not.primed,N,22,35,1
multi.feed,Not.primed,N,22,37,1
multi.feed,Not.primed,N,22,38,1
multi.feed,Not.primed,N,22,39,1
multi.feed,Not.primed,N,22,40,1
multi.feed,Not.primed,N,22,44,1
multi.feed,Not.primed,N,22,45,1
multi.feed,Not.primed,N,22,49,1
multi.feed,Not.primed,N,22,50,1
multi.feed,Not.primed,N,22,54,1
multi.feed,Not.primed,N,22,64,1
multi.feed,Not.primed,N,22,81,1
multi.feed,Not.primed,N,27,8,1
multi.feed,Not.primed,N,27,8,1
multi.feed,Not.primed,N,27,12,1
multi.feed,Not.primed,N,27,16,1
multi.feed,Not.primed,N,27,17,1
multi.feed,Not.primed,N,27,17,1
multi.feed,Not.primed,N,27,17,1
multi.feed,Not.primed,N,27,18,1
multi.feed,Not.primed,N,27,19,1
multi.feed,Not.primed,N,27,19,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,21,1
multi.feed,Not.primed,N,27,22,0
multi.feed,Not.primed,N,27,22,0
multi.feed,Not.primed,N,27,22,0
multi.feed,Not.primed,N,27,22,0
multi.feed,Not.primed,N,27,22,0
multi.feed,Not.primed,N,27,23,1
multi.feed,Not.primed,N,27,23,1
multi.feed,Not.primed,N,27,23,1
multi.feed,Not.primed,N,27,25,1
multi.feed,Not.primed,N,27,25,1
bloodfed.survival.bigger.group,Not.primed,N,18,80,1
bloodfed.survival.bigger.group,Not.primed,N,18,78,1
bloodfed.survival.bigger.group,Not.primed,N,18,69,1
bloodfed.survival.bigger.group,Not.primed,N,18,67,1
bloodfed.survival.bigger.group,Not.primed,N,18,66,1
bloodfed.survival.bigger.group,Not.primed,N,18,62,1
bloodfed.survival.bigger.group,Not.primed,N,18,62,1
bloodfed.survival.bigger.group,Not.primed,N,18,62,1
bloodfed.survival.bigger.group,Not.primed,N,18,59,1
bloodfed.survival.bigger.group,Not.primed,N,18,57,1
bloodfed.survival.bigger.group,Not.primed,N,18,57,1
bloodfed.survival.bigger.group,Not.primed,N,18,54,1
bloodfed.survival.bigger.group,Not.primed,N,18,54,1
bloodfed.survival.bigger.group,Not.primed,N,18,53,1
bloodfed.survival.bigger.group,Not.primed,N,18,52,1
bloodfed.survival.bigger.group,Not.primed,N,18,52,1
bloodfed.survival.bigger.group,Not.primed,N,18,50,1
bloodfed.survival.bigger.group,Not.primed,N,18,49,1
bloodfed.survival.bigger.group,Not.primed,N,18,48,1
bloodfed.survival.bigger.group,Not.primed,N,18,48,1
bloodfed.survival.bigger.group,Not.primed,N,18,46,1
bloodfed.survival.bigger.group,Not.primed,N,18,45,1
bloodfed.survival.bigger.group,Not.primed,N,18,45,1
bloodfed.survival.bigger.group,Not.primed,N,18,42,1
bloodfed.survival.bigger.group,Not.primed,N,18,23,0
bloodfed.survival.bigger.group,Not.primed,N,18,41,1
bloodfed.survival.bigger.group,Not.primed,N,18,41,1
bloodfed.survival.bigger.group,Not.primed,N,18,41,1
bloodfed.survival.bigger.group,Not.primed,N,18,41,1
bloodfed.survival.bigger.group,Not.primed,N,18,38,1
bloodfed.survival.bigger.group,Not.primed,N,18,38,1
bloodfed.survival.bigger.group,Not.primed,N,18,38,1
bloodfed.survival.bigger.group,Not.primed,N,18,38,1
bloodfed.survival.bigger.group,Not.primed,N,18,36,1
bloodfed.survival.bigger.group,Not.primed,N,18,34,1
bloodfed.survival.bigger.group,Not.primed,N,18,32,1
bloodfed.survival.bigger.group,Not.primed,N,18,32,1
bloodfed.survival.bigger.group,Not.primed,N,18,26,1
bloodfed.survival.bigger.group,Not.primed,N,18,26,1
bloodfed.survival.bigger.group,Not.primed,N,18,21,1
bloodfed.survival.bigger.group,Not.primed,N,18,21,1
bloodfed.survival.bigger.group,Not.primed,N,18,19,1
bloodfed.survival.bigger.group,Not.primed,N,18,19,1
bloodfed.survival.bigger.group,Not.primed,N,18,16,1
bloodfed.survival.bigger.group,Not.primed,N,18,16,1
bloodfed.survival.bigger.group,Not.primed,N,18,13,1
bloodfed.survival.bigger.group,Not.primed,N,18,13,1
bloodfed.survival.bigger.group,Not.primed,N,18,13,1
bloodfed.survival.bigger.group,Not.primed,N,18,15,1
bloodfed.survival.bigger.group,Not.primed,N,18,15,1
bloodfed.survival.bigger.group,Not.primed,N,27,34,1
bloodfed.survival.bigger.group,Not.primed,N,27,32,1
bloodfed.survival.bigger.group,Not.primed,N,27,30,1
bloodfed.survival.bigger.group,Not.primed,N,27,30,1
bloodfed.survival.bigger.group,Not.primed,N,27,28,1
bloodfed.survival.bigger.group,Not.primed,N,27,28,1
bloodfed.survival.bigger.group,Not.primed,N,27,28,1
bloodfed.survival.bigger.group,Not.primed,N,27,28,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,26,1
bloodfed.survival.bigger.group,Not.primed,N,27,23,0
bloodfed.survival.bigger.group,Not.primed,N,27,23,0
bloodfed.survival.bigger.group,Not.primed,N,27,23,1
bloodfed.survival.bigger.group,Not.primed,N,27,23,1
bloodfed.survival.bigger.group,Not.primed,N,27,23,1
bloodfed.survival.bigger.group,Not.primed,N,27,23,1
bloodfed.survival.bigger.group,Not.primed,N,27,23,1
bloodfed.survival.bigger.group,Not.primed,N,27,21,1
bloodfed.survival.bigger.group,Not.primed,N,27,21,1
bloodfed.survival.bigger.group,Not.primed,N,27,21,1
bloodfed.survival.bigger.group,Not.primed,N,27,21,1
bloodfed.survival.bigger.group,Not.primed,N,27,21,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,19,1
bloodfed.survival.bigger.group,Not.primed,N,27,16,1
bloodfed.survival.bigger.group,Not.primed,N,27,16,1
bloodfed.survival.bigger.group,Not.primed,N,27,16,1
